rank,word,frequency,relative_frequency
154,sahajāta,741,0.0009411364254089053
155,pakatūpanissayo,741,0.0009411364254089053
156,dhātūhi,737,0.0009360560668371973
157,purimā,734,0.0009322457979084164
158,yā,728,0.0009246252600508544
159,paṭṭhānapakaraṇa,728,0.0009246252600508544
160,pahātabbahetuko,724,0.0009195449014791464
161,purisindriyaṁ,721,0.0009157346325503654
162,phasso,719,0.0009131944532645114
163,cittasamuṭṭhānañca,704,0.0008941431086206065
164,abyākataṁ,702,0.0008916029293347524
165,mānānusayo,700,0.0008890627500488985
166,dukkhāya,699,0.0008877926604059714
167,khandho,697,0.0008852524811201175
168,kamme,695,0.0008827123018342634
169,pacchimānaṁ,690,0.0008763618536196285
170,upanissaye,690,0.0008763618536196285
171,rūpakkhandho,689,0.0008750917639767015
172,nonatthiyā,689,0.0008750917639767015
173,upekkhindriyaṁ,688,0.0008738216743337745
174,pahātabbo,678,0.0008611207779045045
175,tipi,668,0.0008484198814752345
176,kāmadhātuyā,667,0.0008471497918323076
177,sahajātaṁ,667,0.0008471497918323076
178,yato,666,0.0008458797021893805
179,uppajjitthāti,664,0.0008433395229035265
180,eko,662,0.0008407993436176725
181,asaṅgahitā,662,0.0008407993436176725
182,katamo,660,0.0008382591643318185
183,viharati,659,0.0008369890746888916
184,manāyatanaṁ,656,0.0008331788057601105
185,ghānindriyaṁ,656,0.0008331788057601105
186,sabbesaṁ,656,0.0008331788057601105
187,sampayutto,655,0.0008319087161171836
188,somanassindriyaṁ,652,0.0008280984471884025
189,namagge,652,0.0008280984471884025
190,cittasamuṭṭhānānañca,649,0.0008242881782596215
191,vippayuttapaccayena,649,0.0008242881782596215
192,hetū,646,0.0008204779093308406
193,nakusalaṁ,646,0.0008204779093308406
194,sahajāte,645,0.0008192078196879135
195,nasampayutte,645,0.0008192078196879135
196,vicikicchānusayo,637,0.0008090471025444975
197,rūpadhātuyā,634,0.0008052368336157166
198,maggaṁ,631,0.0008014265646869356
199,itthindriyaṁ,630,0.0008001564750440086
200,anantare,625,0.0007938060268293737
201,arūpadhātuyā,624,0.0007925359371864466
202,kāmarāgānusayañca,621,0.0007887256682576657
203,rāgo,619,0.0007861854889718116
204,nissaye,611,0.0007760247718283956
205,saññākkhandho,606,0.0007696743236137607
206,najhāne,606,0.0007696743236137607
207,khandhehi,604,0.0007671341443279067
208,paṭighānusayañca,601,0.0007633238753991257
209,vata,600,0.0007620537857561987
210,āhāre,599,0.0007607836961132716
211,purejātapaccayena,592,0.0007518930686127827
212,sampayuttā,591,0.0007506229789698556
213,purejāte,590,0.0007493528893269287
214,re,589,0.0007480827996840017
215,nuppajjissati,589,0.0007480827996840017
216,purejātaṁ,585,0.0007430024411122937
217,indriye,583,0.0007404622618264398
218,vattabbaṁ,582,0.0007391921721835127
219,ghānāyatanaṁ,581,0.0007379220825405857
220,pacchimabhavikānaṁ,580,0.0007366519928976587
221,naupanissaye,578,0.0007341118136118047
222,nappajahati,578,0.0007341118136118047
223,viññāṇaṁ,574,0.0007290314550400967
224,yathā,574,0.0007290314550400967
225,ārammaṇādhipati,572,0.0007264912757542427
226,saññā,570,0.0007239510964683887
227,mahābhūtaṁ,564,0.0007163305586108268
228,naanantare,558,0.0007087100207532648
229,nanu,557,0.0007074399311103377
230,vipāko,555,0.0007048997518244838
231,hañci,553,0.0007023595725386297
232,ārammaṇapaccayā,550,0.0006985493036098488
233,sampayutte,550,0.0006985493036098488
234,dānaṁ,549,0.0006972792139669217
235,anusayā,548,0.0006960091243239948
236,kāyasaṅkhāro,547,0.0006947390346810678
237,katamā,545,0.0006921988553952137
238,nasamanantare,544,0.0006909287657522868
239,sukhāya,543,0.0006896586761093598
240,khandhañca,543,0.0006896586761093598
241,nakusalo,542,0.0006883885864664328
242,pahīno,540,0.0006858484071805788
243,arahato,539,0.0006845783175376518
244,vatthuñca,537,0.0006820381382517979
245,sahajātādhipati,537,0.0006820381382517979
246,puggalā,536,0.0006807680486088708
247,ñāṇaṁ,534,0.0006782278693230168
248,avijjānusayo,532,0.0006756876900371628
249,vacīsaṅkhāro,530,0.0006731475107513088
250,magge,522,0.0006629867936078928
251,vippayuttā,520,0.0006604466143220388
252,sīlaṁ,520,0.0006604466143220388
253,bhāveti,517,0.0006566363453932579
254,vedanāsu,517,0.0006566363453932579
255,nahetussa,517,0.0006566363453932579
256,sahetuko,516,0.0006553662557503309
257,dukkhasaccaṁ,515,0.0006540961661074038
258,sahajātā,513,0.0006515559868215499
259,bāhiraṁ,510,0.0006477457178927689
260,samanantare,509,0.0006464756282498419
261,atthiyā,504,0.0006401251800352069
262,pahātabbaṁ,501,0.0006363149111064259
263,saṅkhārakkhandho,493,0.0006261541939630099
264,itaresaṁ,493,0.0006261541939630099
265,upasampajja,489,0.0006210738353913019
266,arahā,486,0.0006172635664625209
267,assādeti,482,0.0006121832078908129
268,naaññamaññe,482,0.0006121832078908129
269,paññindriyaṁ,478,0.0006071028493191049
270,vitakko,476,0.000604562670033251
271,vattabbā,476,0.000604562670033251
272,jhāne,475,0.000603292580390324
273,terasa,475,0.000603292580390324
274,cittena,472,0.000599482311461543
275,anusenti,471,0.000598212221818616
276,upalabbhati,470,0.000596942132175689
277,maggassa,468,0.000594401952889835
278,cakkhuṁ,467,0.000593131863246908
279,abhinandati,466,0.000591861773603981
280,kāyassa,465,0.0005905916839610539
281,samudayasaccaṁ,465,0.0005905916839610539
282,viññāṇakkhandho,464,0.000589321594318127
283,naāhāre,463,0.0005880515046752
284,kehici,462,0.000586781415032273
285,katihi,461,0.0005855113253893459
286,cittasaṅkhāro,458,0.000581701056460565
287,nānuseti,458,0.000581701056460565
288,sattarasa,456,0.000579160877174711
289,arūpe,455,0.000577890787531784
290,saddhindriyaṁ,454,0.000576620697888857
291,ekādasa,451,0.000572810428960076
292,cittasamuṭṭhānānaṁ,447,0.000567730070388368
293,nadassanena,445,0.0005651898911025141
294,kati,445,0.0005651898911025141
295,mānānusayañca,445,0.0005651898911025141
296,pahātabbahetukaṁ,444,0.000563919801459587
297,upanissāya,442,0.000561379622173733
298,dukkhaṁ,440,0.000558839442887879
299,sampayuttakā,440,0.000558839442887879
300,niranusayo,440,0.000558839442887879
301,sampayuttaṁ,438,0.000556299263602025
302,cattāro,436,0.000553759084316171
303,indriya,436,0.000553759084316171
304,paccavekkhanti,436,0.000553759084316171
305,adukkhamasukhāya,434,0.0005512189050303171
306,domanassaṁ,433,0.0005499488153873901
307,parinibbāyissanti,433,0.0005499488153873901
308,yasmiṁ,430,0.0005461385464586091
309,kāmarāgānusayena,430,0.0005461385464586091
310,paṭighānusayena,430,0.0005461385464586091
311,paṭhamaṁ,429,0.0005448684568156821
312,dvinnaṁ,428,0.000543598367172755
313,mahābhūtā,427,0.000542328277529828
314,vitthāretabbaṁ,426,0.0005410581878869011
315,kaṭattārūpaṁ,425,0.0005397880982439741
316,vippayutte,425,0.0005397880982439741
317,naindriye,425,0.0005397880982439741
318,diṭṭhi,418,0.0005308974707434851
319,aññamañña,416,0.0005283572914576311
320,vipāka,413,0.0005245470225288501
