rank,word,frequency,relative_frequency
162,εἶ,92,0.0006688282419995056
163,οὐρανοῦ,92,0.0006688282419995056
164,ἐμέ,92,0.0006688282419995056
165,πάντας,91,0.0006615583698038589
166,πνεύματι,91,0.0006615583698038589
167,τούτῳ,89,0.0006470186254125652
168,ἔρχεται,89,0.0006470186254125652
169,ἦλθε(ν),89,0.0006470186254125652
170,πᾶσι(ν),88,0.0006397487532169184
171,ἑπτά,88,0.0006397487532169184
172,οὔτε,87,0.0006324788810212717
173,αὐτοί,86,0.0006252090088256249
174,ἔχων,86,0.0006252090088256249
175,υἱόν,85,0.000617939136629978
176,οὐδέν,85,0.000617939136629978
177,ἡμέρᾳ,84,0.0006106692644343312
178,πολλοί,83,0.0006033993922386845
179,ὥστε,83,0.0006033993922386845
180,ἀπεκρίθη,82,0.0005961295200430376
181,ὅπου,81,0.0005888596478473908
182,μᾶλλον,81,0.0005888596478473908
183,ὧν,80,0.0005815897756517441
184,Παῦλος,79,0.0005743199034560973
185,ἔλεγον,78,0.0005670500312604504
186,δεῖ,77,0.0005597801590648036
187,εἶδον,76,0.0005525102868691569
188,γῆν,76,0.0005525102868691569
189,τινές,76,0.0005525102868691569
190,νεκρῶν,76,0.0005525102868691569
191,Ἰερουσαλήμ,76,0.0005525102868691569
192,ἐποίησε(ν),75,0.00054524041467351
193,κἀγώ,75,0.00054524041467351
194,πᾶν,75,0.00054524041467351
195,δώδεκα,75,0.00054524041467351
196,Ἀβραάμ,73,0.0005307006702822164
197,οὗτοι,73,0.0005307006702822164
198,μόνον,73,0.0005307006702822164
199,τούτων,72,0.0005234307980865697
200,αὕτη,72,0.0005234307980865697
201,δύναται,71,0.0005161609258909228
202,κόσμου,71,0.0005161609258909228
203,γυνή,71,0.0005161609258909228
204,ἔλεγε(ν),71,0.0005161609258909228
205,ἕν,70,0.000508891053695276
206,σῶμα,70,0.000508891053695276
207,τούτου,69,0.0005016211814996292
208,Ἰουδαίων,68,0.0004943513093039825
209,Ἰσραήλ,68,0.0004943513093039825
210,λόγος,68,0.0004943513093039825
211,γέγραπται,67,0.00048708143710833563
212,κύριον,67,0.00048708143710833563
213,νόμου,67,0.00048708143710833563
214,ἀλλήλους,67,0.00048708143710833563
215,ἐξῆλθε(ν),66,0.00047981156491268886
216,πρῶτον,65,0.000472541692717042
217,ἑαυτόν,65,0.000472541692717042
218,ἑαυτούς,65,0.000472541692717042
219,Χριστόν,65,0.000472541692717042
220,εἴτε,65,0.000472541692717042
221,πολλά,64,0.00046527182052139525
222,ἔδωκε(ν),64,0.00046527182052139525
223,τέκνα,63,0.0004580019483257484
224,πόλιν,63,0.0004580019483257484
225,οἴδατε,63,0.0004580019483257484
226,ἄνδρες,63,0.0004580019483257484
227,ἔξω,62,0.00045073207613010165
228,ἦλθον,62,0.00045073207613010165
229,ἄνθρωπον,62,0.00045073207613010165
230,ὧδε,61,0.0004434622039344548
231,χάρις,61,0.0004434622039344548
232,ἰδών,60,0.00043619233173880804
233,ἤδη,60,0.00043619233173880804
234,βασιλείαν,60,0.00043619233173880804
235,ζωήν,60,0.00043619233173880804
236,οἵτινες,60,0.00043619233173880804
237,χεῖρας,60,0.00043619233173880804
238,τοῦτον,60,0.00043619233173880804
239,Δαυίδ,59,0.0004289224595431612
240,σοῦ,59,0.0004289224595431612
241,παντί,59,0.0004289224595431612
242,νόμον,59,0.0004289224595431612
243,λέγουσι(ν),59,0.0004289224595431612
244,ἁμαρτίας,58,0.00042165258734751444
245,δόξαν,58,0.00042165258734751444
246,ἔργα,58,0.00042165258734751444
247,εἶπον,58,0.00042165258734751444
248,ἐκεῖνος,58,0.00042165258734751444
249,ἡμέραν,58,0.00042165258734751444
250,πίστει,58,0.00042165258734751444
251,μηδέ,57,0.0004143827151518676
252,ὅσα,57,0.0004143827151518676
253,οἶκον,57,0.0004143827151518676
254,καρδίας,57,0.0004143827151518676
255,Ἰουδαῖοι,57,0.0004143827151518676
256,πᾶσαν,56,0.00040711284295622083
257,αὐτά,56,0.00040711284295622083
258,ἐξουσίαν,56,0.00040711284295622083
259,οἶδα,56,0.00040711284295622083
260,βασιλεία,55,0.000399842970760574
261,πίστιν,55,0.000399842970760574
262,πόδας,55,0.000399842970760574
263,Ἰωάννης,54,0.0003925730985649272
264,καλόν,54,0.0003925730985649272
265,ὅπως,53,0.00038530322636928045
266,θανάτου,53,0.00038530322636928045
267,οὐχί,53,0.00038530322636928045
268,ταύτην,53,0.00038530322636928045
269,διό,53,0.00038530322636928045
270,οὕς,52,0.0003780333541736336
271,ἐσμέν,52,0.0003780333541736336
272,ἀνήρ,51,0.00037076348197798685
273,γυναῖκα,51,0.00037076348197798685
274,ἀκούσαντες,51,0.00037076348197798685
275,ὁδόν,51,0.00037076348197798685
276,εὐθύς,51,0.00037076348197798685
277,ἔθνη,51,0.00037076348197798685
278,χάριν,51,0.00037076348197798685
279,ἀρχιερεῖς,50,0.00036349360978234
280,ἐλθών,50,0.00036349360978234
281,ἑαυτοῖς,50,0.00036349360978234
282,ἔχετε,50,0.00036349360978234
283,σοί,50,0.00036349360978234
284,ἧς,49,0.00035622373758669324
285,ἡμέραις,49,0.00035622373758669324
286,ἄρα,49,0.00035622373758669324
287,βασιλεύς,48,0.0003489538653910464
288,ἔχω,48,0.0003489538653910464
289,φῶς,48,0.0003489538653910464
290,ἔμπροσθεν,48,0.0003489538653910464
291,Φαρισαῖοι,48,0.0003489538653910464
292,δόξης,48,0.0003489538653910464
293,ἄγγελος,47,0.00034168399319539964
294,ποῦ,47,0.00034168399319539964
295,πρό,47,0.00034168399319539964
296,ἑαυτοῦ,47,0.00034168399319539964
297,οὐκέτι,47,0.00034168399319539964
298,ἄχρι,47,0.00034168399319539964
299,ζωῆς,47,0.00034168399319539964
300,πᾶσα,46,0.0003344141209997528
301,γένηται,46,0.0003344141209997528
302,ποιῆσαι,46,0.0003344141209997528
303,ἅγιον,46,0.0003344141209997528
304,μαθητῶν,46,0.0003344141209997528
305,ἔχοντες,46,0.0003344141209997528
306,ὄχλος,46,0.0003344141209997528
307,οὐαί,46,0.0003344141209997528
308,τόπον,46,0.0003344141209997528
309,κόσμον,46,0.0003344141209997528
310,οἷς,46,0.0003344141209997528
311,ἐθνῶν,45,0.00032714424880410603
312,πάσῃ,45,0.00032714424880410603
313,λόγῳ,45,0.00032714424880410603
314,τινά,45,0.00032714424880410603
315,αἰώνιον,45,0.00032714424880410603
316,ὤν,44,0.0003198743766084592
317,λαόν,44,0.0003198743766084592
318,ἀνθρώποις,44,0.0003198743766084592
319,εἰσῆλθε(ν),43,0.0003126045044128124
320,ἔχομεν,43,0.0003126045044128124
321,ἔφη,43,0.0003126045044128124
322,θάλασσαν,43,0.0003126045044128124
323,ἀδελφός,43,0.0003126045044128124
324,ᾖ,43,0.0003126045044128124
325,πρόσωπον,43,0.0003126045044128124
326,οὐρανόν,43,0.0003126045044128124
327,αἷμα,43,0.0003126045044128124
328,οἴδαμεν,43,0.0003126045044128124
329,ἀληθείας,43,0.0003126045044128124
330,ἐγέννησε(ν),42,0.0003053346322171656
331,ἁγίου,42,0.0003053346322171656
332,οὐρανῶν,42,0.0003053346322171656
333,εἶδε(ν),42,0.0003053346322171656
334,ἕνα,42,0.0003053346322171656
335,Μωϋσῆς,42,0.0003053346322171656
336,ἔργων,42,0.0003053346322171656
337,τρεῖς,42,0.0003053346322171656
338,ἐλθεῖν,42,0.0003053346322171656
339,χωρίς,42,0.0003053346322171656
340,πάσης,42,0.0003053346322171656
341,ἰδόντες,41,0.0002980647600215188
342,ἤρξατο,41,0.0002980647600215188
343,ἀδελφόν,41,0.0002980647600215188
344,σήμερον,41,0.0002980647600215188
345,ἑαυτῶν,41,0.0002980647600215188
346,μαθηταῖς,41,0.0002980647600215188
347,πάντοτε,41,0.0002980647600215188
348,οἰκίαν,40,0.00029079488782587205
349,ψυχήν,40,0.00029079488782587205
350,λέγειν,40,0.00029079488782587205
351,χρείαν,40,0.00029079488782587205
352,εὐαγγέλιον,40,0.00029079488782587205
353,ἀπῆλθε(ν),40,0.00029079488782587205
354,θέλημα,40,0.00029079488782587205
355,φωνήν,40,0.00029079488782587205
