show,year,bin,episodes,tokens,types,path
Ajin_S2,2016,2016-2018,12,5140,1251,heaps_corpus/2016-2018/Ajin_S2.txt
Amaama_to_Inazuma,2016,2016-2018,12,5799,1193,heaps_corpus/2016-2018/Amaama_to_Inazuma.txt
Boku_dake_ga_Inai_Machi,2016,2016-2018,12,8125,1512,heaps_corpus/2016-2018/Boku_dake_ga_Inai_Machi.txt
Bungo_Stray_Dogs_S1,2016,2016-2018,12,7018,1531,heaps_corpus/2016-2018/Bungo_Stray_Dogs_S1.txt
Bungou_Stray_Dogs_S2,2016,2016-2018,12,8808,1916,heaps_corpus/2016-2018/Bungou_Stray_Dogs_S2.txt
Drifters,2016,2016-2018,12,4205,1193,heaps_corpus/2016-2018/Drifters.txt
Glass_no_Hana_to_Kowasu_Sekai,2016,2016-2018,1,2028,489,heaps_corpus/2016-2018/Glass_no_Hana_to_Kowasu_Sekai.txt
Hai_to_Gensou_no_Grimgar,2016,2016-2018,12,4465,1041,heaps_corpus/2016-2018/Hai_to_Gensou_no_Grimgar.txt
High_School_Fleet,2016,2016-2018,12,8461,1810,heaps_corpus/2016-2018/High_School_Fleet.txt
In_This_Corner_Of_The_World,2016,2016-2018,1,1491,556,heaps_corpus/2016-2018/In_This_Corner_Of_The_World.txt
JoJo_no_Kimyou_na_Bouken_Diamond_wa_Kudakenai,2016,2016-2018,39,19741,2843,heaps_corpus/2016-2018/JoJo_no_Kimyou_na_Bouken_Diamond_wa_Kudakenai.txt
Joker_Game,2016,2016-2018,12,5085,1286,heaps_corpus/2016-2018/Joker_Game.txt
Kiznaiver,2016,2016-2018,12,7251,1365,heaps_corpus/2016-2018/Kiznaiver.txt
Kizumonogatari,2016,2016-2018,3,5256,1019,heaps_corpus/2016-2018/Kizumonogatari.txt
Kono_Subarashii_Sekai_ni_Shukufuku_wo!,2016,2016-2018,10,5954,1387,heaps_corpus/2016-2018/Kono_Subarashii_Sekai_ni_Shukufuku_wo_.txt
Kuromukuro,2016,2016-2018,26,10558,2018,heaps_corpus/2016-2018/Kuromukuro.txt
Long_Riders,2016,2016-2018,12,6625,1276,heaps_corpus/2016-2018/Long_Riders.txt
March_Comes_in_Like_a_Lion_S1,2016,2016-2018,22,10212,2114,heaps_corpus/2016-2018/March_Comes_in_Like_a_Lion_S1.txt
Mob_Psycho_100,2016,2016-2018,12,6811,1586,heaps_corpus/2016-2018/Mob_Psycho_100.txt
Musaigen_no_Phantom_World,2016,2016-2018,13,6551,1432,heaps_corpus/2016-2018/Musaigen_no_Phantom_World.txt
My_Hero_Academia,2016,2016-2018,13,8446,1938,heaps_corpus/2016-2018/My_Hero_Academia.txt
Occultic_Nine,2016,2016-2018,12,6329,1384,heaps_corpus/2016-2018/Occultic_Nine.txt
ReLIFE,2016,2016-2018,13,5047,1081,heaps_corpus/2016-2018/ReLIFE.txt
Re_Zero,2016,2016-2018,25,14767,2443,heaps_corpus/2016-2018/Re_Zero.txt
Shokugeki_no_Souma_Ni_no_Sara,2016,2016-2018,13,7260,1823,heaps_corpus/2016-2018/Shokugeki_no_Souma_Ni_no_Sara.txt
Shouwa_Genroku_Rakugo_Shinjuu,2016,2016-2018,13,4075,1032,heaps_corpus/2016-2018/Shouwa_Genroku_Rakugo_Shinjuu.txt
Shouwa_Genroku_Rakugo_Shinjuu_S2,2016,2016-2018,12,5594,1311,heaps_corpus/2016-2018/Shouwa_Genroku_Rakugo_Shinjuu_S2.txt
Shuumatsu_no_Izetta,2016,2016-2018,12,8291,1666,heaps_corpus/2016-2018/Shuumatsu_no_Izetta.txt
Tales_of_Zestiria_the_X,2016,2016-2018,12,3937,917,heaps_corpus/2016-2018/Tales_of_Zestiria_the_X.txt
Tanaka-kun_is_Always_Listless,2016,2016-2018,12,6817,1459,heaps_corpus/2016-2018/Tanaka-kun_is_Always_Listless.txt
Your_name,2016,2016-2018,1,1605,535,heaps_corpus/2016-2018/Your_name.txt
Busou_Shoujo_Machiavellianism,2017,2016-2018,12,5350,1316,heaps_corpus/2016-2018/Busou_Shoujo_Machiavellianism.txt
Children_of_the_Whales,2017,2016-2018,12,5782,1235,heaps_corpus/2016-2018/Children_of_the_Whales.txt
Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatte_Iru_Darouka_Gaiden-Sword_Oratoria,2017,2016-2018,12,5661,1307,heaps_corpus/2016-2018/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatte_Iru_Darouka_Gaiden-Sword_Oratoria.txt
Fate_Apocrypha,2017,2016-2018,25,7192,1412,heaps_corpus/2016-2018/Fate_Apocrypha.txt
ID-0,2017,2016-2018,12,8512,1744,heaps_corpus/2016-2018/ID-0.txt
Inuyashiki,2017,2016-2018,11,3348,792,heaps_corpus/2016-2018/Inuyashiki.txt
Kakegurui,2017,2016-2018,12,6235,1410,heaps_corpus/2016-2018/Kakegurui.txt
Kobayashi-san_Chi_no_Maid_Dragon,2017,2016-2018,13,8470,1652,heaps_corpus/2016-2018/Kobayashi-san_Chi_no_Maid_Dragon.txt
Made_in_Abyss,2017,2016-2018,13,6877,1434,heaps_corpus/2016-2018/Made_in_Abyss.txt
Mahoutsukai_no_Yome,2017,2016-2018,24,10198,1660,heaps_corpus/2016-2018/Mahoutsukai_no_Yome.txt
March_Comes_in_Like_a_Lion_S2,2017,2016-2018,21,10591,2016,heaps_corpus/2016-2018/March_Comes_in_Like_a_Lion_S2.txt
Princess_Principal,2017,2016-2018,12,7826,1710,heaps_corpus/2016-2018/Princess_Principal.txt
Rokudenashi_Majutsu_Koushi_to_Akashic_Records,2017,2016-2018,12,6889,1487,heaps_corpus/2016-2018/Rokudenashi_Majutsu_Koushi_to_Akashic_Records.txt
Saenai_Heroine_no_Sodatekata_Flat,2017,2016-2018,12,9106,1593,heaps_corpus/2016-2018/Saenai_Heroine_no_Sodatekata_Flat.txt
Shingeki_no_Bahamut_Virgin_Soul,2017,2016-2018,24,11919,1836,heaps_corpus/2016-2018/Shingeki_no_Bahamut_Virgin_Soul.txt
Shoujo_Shuumatsu_Ryokou,2017,2016-2018,12,4867,963,heaps_corpus/2016-2018/Shoujo_Shuumatsu_Ryokou.txt
Tsugumomo,2017,2016-2018,12,3733,1036,heaps_corpus/2016-2018/Tsugumomo.txt
Tsuki_ga_Kirei,2017,2016-2018,12,3397,871,heaps_corpus/2016-2018/Tsuki_ga_Kirei.txt
Tsuredure_Children,2017,2016-2018,12,6203,1054,heaps_corpus/2016-2018/Tsuredure_Children.txt
Youjo_Senki,2017,2016-2018,12,6387,1671,heaps_corpus/2016-2018/Youjo_Senki.txt
Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,2017,2016-2018,12,6365,1328,heaps_corpus/2016-2018/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e.txt
A.I.C.O._Incarnation,2018,2016-2018,12,6547,1387,heaps_corpus/2016-2018/A.I.C.O._Incarnation.txt
Chio-chan_no_Tsuugakuro,2018,2016-2018,12,5646,1359,heaps_corpus/2016-2018/Chio-chan_no_Tsuugakuro.txt
Citrus,2018,2016-2018,12,5874,1019,heaps_corpus/2016-2018/Citrus.txt
Darling_in_the_Franxx,2018,2016-2018,24,11355,1719,heaps_corpus/2016-2018/Darling_in_the_Franxx.txt
Devilman_Crybaby,2018,2016-2018,10,3837,1045,heaps_corpus/2016-2018/Devilman_Crybaby.txt
Full_Metal_Panic!_Invisible_Victory,2018,2016-2018,12,5049,1409,heaps_corpus/2016-2018/Full_Metal_Panic__Invisible_Victory.txt
Goblin_Slayer,2018,2016-2018,11,4080,1050,heaps_corpus/2016-2018/Goblin_Slayer.txt
Golden_Kamuy,2018,2016-2018,24,13525,2336,heaps_corpus/2016-2018/Golden_Kamuy.txt
High_Score_Girl,2018,2016-2018,12,4940,1357,heaps_corpus/2016-2018/High_Score_Girl.txt
Hinomaru_Sumo,2018,2016-2018,24,11259,1895,heaps_corpus/2016-2018/Hinomaru_Sumo.txt
Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu,2018,2016-2018,12,7729,1491,heaps_corpus/2016-2018/Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu.txt
JoJo_no_Kimyou_na_Bouken_Ougon_no_Kaze,2018,2016-2018,21,17161,2472,heaps_corpus/2016-2018/JoJo_no_Kimyou_na_Bouken_Ougon_no_Kaze.txt
Kishuku_Gakkou_no_Juliet,2018,2016-2018,12,6846,1448,heaps_corpus/2016-2018/Kishuku_Gakkou_no_Juliet.txt
Lost_Song,2018,2016-2018,12,7228,1288,heaps_corpus/2016-2018/Lost_Song.txt
Mirai_no_Mirai,2018,2016-2018,1,1001,387,heaps_corpus/2016-2018/Mirai_no_Mirai.txt
Mitsuboshi_Colors,2018,2016-2018,12,7258,1382,heaps_corpus/2016-2018/Mitsuboshi_Colors.txt
Overlord_S2,2018,2016-2018,13,5405,1330,heaps_corpus/2016-2018/Overlord_S2.txt
Overlord_S3,2018,2016-2018,13,4708,1232,heaps_corpus/2016-2018/Overlord_S3.txt
Steins_Gate_0,2018,2016-2018,21,9793,1661,heaps_corpus/2016-2018/Steins_Gate_0.txt
Sword_Art_Online_Alicization,2018,2016-2018,24,15562,2508,heaps_corpus/2016-2018/Sword_Art_Online_Alicization.txt
Sword_Art_Online_Alternative_Gun_Gale_Online,2018,2016-2018,12,5913,1354,heaps_corpus/2016-2018/Sword_Art_Online_Alternative_Gun_Gale_Online.txt
Zoids_Wild,2018,2016-2018,46,24220,2810,heaps_corpus/2016-2018/Zoids_Wild.txt
Dororo,2019,2019-2021,24,9377,1644,heaps_corpus/2019-2021/Dororo.txt
Dr.Stone,2019,2019-2021,24,9663,2006,heaps_corpus/2019-2021/Dr.Stone.txt
Isekai_Cheat_Magician,2019,2019-2021,12,5227,1231,heaps_corpus/2019-2021/Isekai_Cheat_Magician.txt
Isekai_Quartet,2019,2019-2021,12,3591,883,heaps_corpus/2019-2021/Isekai_Quartet.txt
Mairimashita!_Iruma-kun,2019,2019-2021,23,9543,1954,heaps_corpus/2019-2021/Mairimashita__Iruma-kun.txt
Mob_Psycho_100_S2,2019,2019-2021,25,14042,2480,heaps_corpus/2019-2021/Mob_Psycho_100_S2.txt
Monster,2019,2019-2021,74,45571,4066,heaps_corpus/2019-2021/Monster.txt
Nanatsu_no_Taizai,2019,2019-2021,24,18419,2682,heaps_corpus/2019-2021/Nanatsu_no_Taizai.txt
Nande_Koko_ni_Sensei_ga!,2019,2019-2021,12,3196,776,heaps_corpus/2019-2021/Nande_Koko_ni_Sensei_ga_.txt
Sarazanmai,2019,2019-2021,11,6649,1203,heaps_corpus/2019-2021/Sarazanmai.txt
Tate_no_Yuusha_no_Nariagari,2019,2019-2021,25,10146,1658,heaps_corpus/2019-2021/Tate_no_Yuusha_no_Nariagari.txt
Vinland_Saga,2019,2019-2021,24,11844,2400,heaps_corpus/2019-2021/Vinland_Saga.txt
Yakusoku_no_Neverland,2019,2019-2021,12,6111,1167,heaps_corpus/2019-2021/Yakusoku_no_Neverland.txt
Jujutsu_Kaisen,2020,2019-2021,24,10298,2188,heaps_corpus/2019-2021/Jujutsu_Kaisen.txt
Idoly_Pride,2021,2019-2021,12,7096,1139,heaps_corpus/2019-2021/Idoly_Pride.txt
Tensura,2022,2022-2024,24,12383,2153,heaps_corpus/2022-2024/Tensura.txt
