N,V_mean,V_sd
518775,26092.9,138.23
538651,26572.33,134.48
559288,27052.07,140.22
580717,27550.37,150.27
602966,28044.4,156.65
626068,28548.83,161.71
650055,29054.7,160.15
674961,29570.7,156.04
700821,30097.5,151.32
727672,30630.4,150.74
755551,31157.4,143.16
784499,31688.47,139.1
814556,32240.8,145.92
845765,32795.67,149.39
878169,33349.77,152.97
911815,33913.27,148.58
946750,34481.9,147.23
983023,35067.1,142.75
1020686,35653.77,151.69
1059792,36250.93,153.96
1100397,36848.97,159.16
1142557,37443.73,154.55
1186332,38046.1,156.02
1231785,38674.27,148.38
1278979,39295.73,144.93
1327981,39926.57,138.86
1378861,40566.43,131.9
1431690,41220.67,141.58
1486543,41872.93,138.29
1543497,42529.7,138.27
1602634,43203.3,142.55
1664037,43865.7,136.13
1727792,44542.57,127.46
1793990,45237.23,120.42
1862724,45924.3,105.83
1934091,46626.87,107.26
2008193,47329.33,113.56
2085134,48044.43,114.57
2165023,48760.47,109.86
2247973,49493.7,102.99
2334101,50241.6,95.01
2423528,50980.6,91.35
2516382,51749.4,88.33
2612794,52516.6,85.9
2712899,53284.47,71.97
2816840,54066.1,69.99
2924763,54837.3,59.03
3036821,55626.57,44.61
3153172,56411.57,32.57
3273982,57215.0,0.0
